tagID,animateType,name,tagAddr,no
TAG_1_47_3,changeImageGroup,F02_1_1_47_3_T,http://192.168.245.3:9898/monitor/lighting/1_47_3,178
TAG_1_47_4,changeImageGroup,F02_1_1_47_4_T,http://192.168.245.3:9898/monitor/lighting/1_47_4,179
TAG_1_48_1,changeImageGroup,F02_1_1_48_1_T,http://192.168.245.3:9898/monitor/lighting/1_48_1,180
TAG_1_48_2,changeImageGroup,F02_1_1_48_2_T,http://192.168.245.3:9898/monitor/lighting/1_48_2,181
TAG_1_48_3,changeImageGroup,F02_1_1_48_3_T,http://192.168.245.3:9898/monitor/lighting/1_48_3,182
TAG_1_48_4,changeImageGroup,untitle_1_1_48_4_T,http://192.168.245.3:9898/monitor/lighting/1_48_4,183
TAG_1_48_9,changeImageGroup,F02_1_1_48_9_T,http://192.168.245.3:9898/monitor/lighting/1_48_9,184
TAG_1_49_1,changeImageGroup,F02_1_1_49_1_T,http://192.168.245.3:9898/monitor/lighting/1_49_1,185
TAG_1_49_2,changeImageGroup,F02_1_1_49_2_T,http://192.168.245.3:9898/monitor/lighting/1_49_2,186
TAG_1_49_3,changeImageGroup,F02_1_1_49_3_T,http://192.168.245.3:9898/monitor/lighting/1_49_3,187
TAG_1_49_4,changeImageGroup,F02_1_1_49_4_T,http://192.168.245.3:9898/monitor/lighting/1_49_4,188
TAG_1_5,changeImageGroup,ALL_1_1_5_G,http://192.168.245.3:9898/monitor/lighting/1_5,189
TAG_1_5_1,changeImageGroup,F02_1_1_5_1_T,http://192.168.245.3:9898/monitor/lighting/1_5_1,190
TAG_1_5_2,changeImageGroup,F02_1_1_5_2_T,http://192.168.245.3:9898/monitor/lighting/1_5_2,191
TAG_1_5_3,changeImageGroup,F02_1_1_5_3_T,http://192.168.245.3:9898/monitor/lighting/1_5_3,192
TAG_1_5_4,changeImageGroup,F02_1_1_5_4_T,http://192.168.245.3:9898/monitor/lighting/1_5_4,193
TAG_1_50_1,changeImageGroup,untitle_1_1_50_1_T,http://192.168.245.3:9898/monitor/lighting/1_50_1,194
TAG_1_50_2,changeImageGroup,untitle_1_1_50_2_T,http://192.168.245.3:9898/monitor/lighting/1_50_2,195
TAG_1_50_3,changeImageGroup,untitle_1_1_50_3_T,http://192.168.245.3:9898/monitor/lighting/1_50_3,196
TAG_1_50_4,changeImageGroup,untitle_1_1_50_4_T,http://192.168.245.3:9898/monitor/lighting/1_50_4,197
TAG_1_51_1,changeImageGroup,F01_1_1_51_1_T,http://192.168.245.3:9898/monitor/lighting/1_51_1,198
TAG_1_51_2,changeImageGroup,F01_1_1_51_2_T,http://192.168.245.3:9898/monitor/lighting/1_51_2,199
TAG_1_51_3,changeImageGroup,untitle_1_1_51_3_T,http://192.168.245.3:9898/monitor/lighting/1_51_3,200
TAG_1_51_4,changeImageGroup,F01_1_1_51_4_T,http://192.168.245.3:9898/monitor/lighting/1_51_4,201
TAG_1_52_1,changeImageGroup,untitle_1_1_52_1_T,http://192.168.245.3:9898/monitor/lighting/1_52_1,202
TAG_1_52_2,changeImageGroup,F01_1_1_52_2_T,http://192.168.245.3:9898/monitor/lighting/1_52_2,203
TAG_1_52_3,changeImageGroup,F01_1_1_52_3_T,http://192.168.245.3:9898/monitor/lighting/1_52_3,204
