animateType,name,no,tagAddr,tagID,interval
changeTextFloor_1,FCU24.설정온도,997,http://192.168.245.3:9898/monitor/hvac/2010_2_9,TAG_2010_2_9,3600000
changeTextFloor_1,FCU25.설정온도,998,http://192.168.245.3:9898/monitor/hvac/2010_2_10,TAG_2010_2_10,3600000
changeTextFloor_1,FCU23.실내온도,999,http://192.168.245.3:9898/monitor/hvac/2010_2_11,TAG_2010_2_11,3600000
changeTextFloor_1,FCU24.실내온도,1000,http://192.168.245.3:9898/monitor/hvac/2010_2_12,TAG_2010_2_12,3600000
changeTextFloor_1,FCU25.실내온도,1001,http://192.168.245.3:9898/monitor/hvac/2010_2_13,TAG_2010_2_13,3600000
changeTextFloor_1,FCU23.밸브,1002,http://192.168.245.3:9898/monitor/hvac/2010_2_14,TAG_2010_2_14,NULL
changeTextFloor_1,FCU24.밸브,1003,http://192.168.245.3:9898/monitor/hvac/2010_2_15,TAG_2010_2_15,NULL
changeTextFloor_1,FCU25.밸브,1004,http://192.168.245.3:9898/monitor/hvac/2010_2_16,TAG_2010_2_16,NULL
changeTextFloor_1,FCU26.밸브,1005,http://192.168.245.3:9898/monitor/hvac/2010_2_17,TAG_2010_2_17,NULL
changeTextFloor_1,FCU22.실내온도,1006,http://192.168.245.3:9898/monitor/hvac/2010_2_18,TAG_2010_2_18,3600000
changeTextFloor_0,공조기10.급기FMS2,1007,http://192.168.245.3:9898/monitor/hvac/2010_2_19,TAG_2010_2_19,NULL
changeTextFloor_0,공조기10.급기FMS1,1008,http://192.168.245.3:9898/monitor/hvac/2010_2_20,TAG_2010_2_20,NULL
changeTextFloor_0,공조기10.환기FMS,1009,http://192.168.245.3:9898/monitor/hvac/2010_2_21,TAG_2010_2_21,NULL
changeTextFloor_1,FCU.6F.1-3.설정온도,1010,http://192.168.245.3:9898/monitor/hvac/2010_2_22,TAG_2010_2_22,3600000
changeTextFloor_1,FCU.6F.4-5.설정온도,1011,http://192.168.245.3:9898/monitor/hvac/2010_2_23,TAG_2010_2_23,3600000
changeTextFloor_1,FCU.6F.6.설정온도,1012,http://192.168.245.3:9898/monitor/hvac/2010_2_24,TAG_2010_2_24,3600000
changeTextFloor_1,FCU.6F.4-6.RT,1013,http://192.168.245.3:9898/monitor/hvac/2010_2_25,TAG_2010_2_25,NULL
changeTextFloor_1,FCU.6F.4-6.SET,1014,http://192.168.245.3:9898/monitor/hvac/2010_2_26,TAG_2010_2_26,NULL
changeTextFloor_1,공조기10.ERR,1015,http://192.168.245.3:9898/monitor/hvac/2010_2_27,TAG_2010_2_27,NULL
changeImage,흄후드배기01.상태,1016,http://192.168.245.3:9898/monitor/hvac/2010_3_1,TAG_2010_3_1,NULL
changeImage,공조기10.환기상태,1017,http://192.168.245.3:9898/monitor/hvac/2010_3_3,TAG_2010_3_3,NULL
changeImage,공조기10.환기경보,1018,http://192.168.245.3:9898/monitor/hvac/2010_3_4,TAG_2010_3_4,0
changeImage,공조기10.화재경보,1019,http://192.168.245.3:9898/monitor/hvac/2010_3_5,TAG_2010_3_5,0
