id,date_time,date_type,interval,no,subject,tagids,value_type
140,2016-01-27 00:00:01,c,DAY,140,HV6_WH_PREVIOUS_HOUR 일별 그래프,HV6_WH_PREVIOUS_HOUR:TAG_4560_2_32,AVG
141,2016-01-27 00:00:01,c,DAY,141,LV8_W_YEAR 일별 그래프,LV8_W_YEAR:TAG_4560_2_320,AVG
142,2016-01-27 00:00:01,c,DAY,142,LV13_W_MONTH 일별 그래프,LV13_W_MONTH:TAG_4560_2_321,AVG
143,2016-01-27 00:00:01,c,DAY,143,LV13_W_PREVIOUS_DAY 일별 그래프,LV13_W_PREVIOUS_DAY:TAG_4560_2_322,AVG
144,2016-01-27 00:00:01,c,DAY,144,LV13_W_PREVIOUS_MONTH 일별 그래프,LV13_W_PREVIOUS_MONTH:TAG_4560_2_323,AVG
145,2016-01-27 00:00:01,c,DAY,145,LV13_W_PREVIOUS_YEAR 일별 그래프,LV13_W_PREVIOUS_YEAR:TAG_4560_2_324,AVG
146,2016-01-27 00:00:01,c,DAY,146,LV13_W_TODAY 일별 그래프,LV13_W_TODAY:TAG_4560_2_325,AVG
147,2016-01-27 00:00:01,c,DAY,147,LV13_W_YEAR 일별 그래프,LV13_W_YEAR:TAG_4560_2_326,AVG
148,2016-01-27 00:00:01,c,DAY,148,LV14_W_MONTH 일별 그래프,LV14_W_MONTH:TAG_4560_2_327,AVG
149,2016-01-27 00:00:01,c,DAY,149,LV14_W_PREVIOUS_DAY 일별 그래프,LV14_W_PREVIOUS_DAY:TAG_4560_2_328,AVG
150,2016-01-27 00:00:01,c,DAY,150,LV14_W_PREVIOUS_MONTH 일별 그래프,LV14_W_PREVIOUS_MONTH:TAG_4560_2_329,AVG
151,2016-01-27 00:00:01,c,DAY,151,HV6_WH_PREVIOUS_MONTH 일별 그래프,HV6_WH_PREVIOUS_MONTH:TAG_4560_2_33,AVG
152,2016-01-27 00:00:01,c,DAY,152,LV14_W_PREVIOUS_YEAR 일별 그래프,LV14_W_PREVIOUS_YEAR:TAG_4560_2_330,AVG
153,2016-01-27 00:00:01,c,DAY,153,LV14_W_TODAY 일별 그래프,LV14_W_TODAY:TAG_4560_2_331,AVG
154,2016-01-27 00:00:01,c,DAY,154,LV14_W_YEAR 일별 그래프,LV14_W_YEAR:TAG_4560_2_332,AVG
155,2016-01-27 00:00:01,c,DAY,155,GEN31_W_MONTH 일별 그래프,GEN31_W_MONTH:TAG_4560_2_333,AVG
156,2016-01-27 00:00:01,c,DAY,156,GEN31_W_PREVIOUS_DAY 일별 그래프,GEN31_W_PREVIOUS_DAY:TAG_4560_2_334,AVG
157,2016-01-27 00:00:01,c,DAY,157,GEN31_W_PREVIOUS_MONTH 일별 그래프,GEN31_W_PREVIOUS_MONTH:TAG_4560_2_335,AVG
158,2016-01-27 00:00:01,c,DAY,158,GEN31_W_PREVIOUS_YEAR 일별 그래프,GEN31_W_PREVIOUS_YEAR:TAG_4560_2_336,AVG
159,2016-01-27 00:00:01,c,DAY,159,GEN31_W_TODAY 일별 그래프,GEN31_W_TODAY:TAG_4560_2_337,AVG
160,2016-01-27 00:00:01,c,DAY,160,GEN31_W_YEAR 일별 그래프,GEN31_W_YEAR:TAG_4560_2_338,AVG
161,2016-01-27 00:00:01,c,DAY,161,GEN32_W_MONTH 일별 그래프,GEN32_W_MONTH:TAG_4560_2_339,AVG
162,2016-01-27 00:00:01,c,DAY,162,HV6_WH_PREVIOUS_YEAR 일별 그래프,HV6_WH_PREVIOUS_YEAR:TAG_4560_2_34,AVG
163,2016-01-27 00:00:01,c,DAY,163,GEN32_WH_DAY 일별 그래프,GEN32_WH_DAY:TAG_4560_2_340,AVG
164,2016-01-27 00:00:01,c,DAY,164,GEN32_WH_MONTH 일별 그래프,GEN32_WH_MONTH:TAG_4560_2_341,AVG
165,2016-01-27 00:00:01,c,DAY,165,GEN32_W_PREVIOUS_YEAR 일별 그래프,GEN32_W_PREVIOUS_YEAR:TAG_4560_2_342,AVG
166,2016-01-27 00:00:01,c,DAY,166,GEN32_W_TODAY 일별 그래프,GEN32_W_TODAY:TAG_4560_2_343,AVG
167,2016-01-27 00:00:01,c,DAY,167,GEN32_W_YEAR 일별 그래프,GEN32_W_YEAR:TAG_4560_2_344,AVG
168,2016-01-27 00:00:01,c,DAY,168,GEN21_W_MONTH 일별 그래프,GEN21_W_MONTH:TAG_4560_2_345,AVG
169,2016-01-27 00:00:01,c,DAY,169,GEN21_W_PREVIOUS_DAY 일별 그래프,GEN21_W_PREVIOUS_DAY:TAG_4560_2_346,AVG
170,2016-01-27 00:00:01,c,DAY,170,GEN21_W_PREVIOUS_MONTH 일별 그래프,GEN21_W_PREVIOUS_MONTH:TAG_4560_2_347,AVG
171,2016-01-27 00:00:01,c,DAY,171,GEN21_W_PREVIOUS_YEAR 일별 그래프,GEN21_W_PREVIOUS_YEAR:TAG_4560_2_348,AVG
172,2016-01-27 00:00:01,c,DAY,172,GEN21_W_TODAY 일별 그래프,GEN21_W_TODAY:TAG_4560_2_349,AVG
173,2016-01-27 00:00:01,c,DAY,173,HV6_WH_TODAY 일별 그래프,HV6_WH_TODAY:TAG_4560_2_35,AVG
174,2016-01-27 00:00:01,c,DAY,174,GEN21_W_YEAR 일별 그래프,GEN21_W_YEAR:TAG_4560_2_350,AVG
175,2016-01-27 00:00:01,c,DAY,175,GEN22_W_MONTH 일별 그래프,GEN22_W_MONTH:TAG_4560_2_351,AVG
176,2016-01-27 00:00:01,c,DAY,176,GEN22_WH_DAY 일별 그래프,GEN22_WH_DAY:TAG_4560_2_352,AVG
177,2016-01-27 00:00:01,c,DAY,177,GEN22_W_PREVIOUS_MONTH 일별 그래프,GEN22_W_PREVIOUS_MONTH:TAG_4560_2_353,AVG
178,2016-01-27 00:00:01,c,DAY,178,GEN22_W_PREVIOUS_YEAR 일별 그래프,GEN22_W_PREVIOUS_YEAR:TAG_4560_2_354,AVG
179,2016-01-27 00:00:01,c,DAY,179,GEN22_W_TODAY 일별 그래프,GEN22_W_TODAY:TAG_4560_2_355,AVG
180,2016-01-27 00:00:01,c,DAY,180,GEN22_W_YEAR 일별 그래프,GEN22_W_YEAR:TAG_4560_2_356,AVG
181,2016-01-27 00:00:01,c,DAY,181,HV6_WH_YEAR 일별 그래프,HV6_WH_YEAR:TAG_4560_2_36,AVG
182,2016-01-27 00:00:01,c,DAY,182,HV7_WATT_VALUE 일별 그래프,HV7_WATT_VALUE:TAG_4560_2_46,AVG
183,2016-01-27 00:00:01,c,DAY,183,HV7_WH_HOUR 일별 그래프,HV7_WH_HOUR:TAG_4560_2_47,AVG
184,2016-01-27 00:00:01,c,DAY,184,HV7_WH_MONTH 일별 그래프,HV7_WH_MONTH:TAG_4560_2_48,AVG
