animateType,name,no,tagAddr,tagID,interval,criteria
NULL,apcUpsConfigFieldValueRange.9,103,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.9,1.3.6.1.4.1.318.1.1.1.5.2.16.1.3.9,NULL,NULL
NULL,upsAdvConfigBattCabAmpHour.0,104,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.17.0,1.3.6.1.4.1.318.1.1.1.5.2.17.0,NULL,NULL
NULL,upsAdvConfigPositionSelector.0,105,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.18.0,1.3.6.1.4.1.318.1.1.1.5.2.18.0,NULL,NULL
NULL,upsAdvConfigOutputFreqRange.0,106,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.19.0,1.3.6.1.4.1.318.1.1.1.5.2.19.0,NULL,NULL
NULL,upsAdvConfigUPSFail.0,107,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.20.0,1.3.6.1.4.1.318.1.1.1.5.2.20.0,NULL,NULL
NULL,upsAdvConfigAlarmRedundancy.0,108,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.21.0,1.3.6.1.4.1.318.1.1.1.5.2.21.0,NULL,NULL
NULL,upsAdvConfigAlarmLoadOver.0,109,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.22.0,1.3.6.1.4.1.318.1.1.1.5.2.22.0,NULL,NULL
NULL,upsAdvConfigAlarmRuntimeUnder.0,110,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.23.0,1.3.6.1.4.1.318.1.1.1.5.2.23.0,NULL,NULL
NULL,upsAdvConfigVoutReporting.0,111,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.24.0,1.3.6.1.4.1.318.1.1.1.5.2.24.0,NULL,NULL
NULL,upsAdvConfigNumExternalBatteries.0,112,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.25.0,1.3.6.1.4.1.318.1.1.1.5.2.25.0,NULL,NULL
NULL,upsAdvConfigSimpleSignalShutdowns.0,113,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.5.2.26.0,1.3.6.1.4.1.318.1.1.1.5.2.26.0,NULL,NULL
